iter	Logloss
294	0.4983259114
295	0.4981369412
296	0.4978683422
297	0.4976884762
298	0.4974883675
299	0.497301497
300	0.4969994268
301	0.4967102912
302	0.4965383146
303	0.4962944778
304	0.4961132011
305	0.4958829356
306	0.4956583162
307	0.4954511866
308	0.4952945349
309	0.4951252817
310	0.4948431408
311	0.4946440999
312	0.4944658274
313	0.494287199
314	0.4941161106
315	0.4939591617
316	0.4936934396
317	0.4934898858
318	0.4933958824
319	0.4932006621
320	0.492960881
321	0.4927181414
322	0.4924693965
323	0.4922056272
324	0.4920053487
325	0.4917998355
326	0.4916553151
327	0.4914661653
328	0.491347465
329	0.4911208634
330	0.4909550651
331	0.4908245601
332	0.4906734075
333	0.4904395434
334	0.4902940564
335	0.4900562444
336	0.4897631511
337	0.489574638
338	0.4893254099
339	0.4892042507
340	0.4890185558
341	0.4888220587
342	0.4887202181
343	0.4884925291
344	0.4883008747
345	0.4881702129
346	0.487981971
347	0.4877176857
348	0.4874924556
349	0.4873423544
350	0.4871655645
351	0.4869215677
352	0.4867239374
353	0.4864886562
354	0.4863216594
355	0.4861164892
356	0.4859249295
357	0.4856160247
358	0.4853789474
359	0.4852363242
360	0.4849922229
361	0.4848338568
362	0.4846284024
363	0.4844456367
364	0.4842606504
365	0.4840935295
366	0.4838888916
367	0.4837341763
368	0.4835772045
369	0.4833904875
370	0.483174711
371	0.483078536
372	0.4828191131
373	0.4825734378
374	0.4824340899
375	0.4821891199
376	0.4819815789
377	0.4817620438
378	0.4815390996
379	0.4813932142
380	0.4812277457
381	0.4810280484
382	0.4808887429
383	0.4806102854
384	0.4804331461
385	0.48014965
386	0.4799211185
387	0.4797434142
388	0.4794962597
389	0.4792799901
390	0.4790818047
391	0.4790072178
392	0.4788700904
393	0.4786333625
394	0.4784641224
395	0.4782135358
396	0.477978075
397	0.4778179129
398	0.4776474318
399	0.477528023
400	0.477316485
401	0.47713593
402	0.4769242974
403	0.4767686024
404	0.4764886069
405	0.4763288073
406	0.4760781097
407	0.4759314602
408	0.4757582753
409	0.4755126425
410	0.4753470466
411	0.4751945584
412	0.4750553672
413	0.4747857658
414	0.4746151182
415	0.4744368033
416	0.4742743161
417	0.474118569
418	0.473991434
419	0.4737503728
420	0.4735277682
421	0.4733779315
422	0.4731079708
423	0.4729981625
424	0.4727955719
425	0.4726861293
426	0.47245284
427	0.4722857126
428	0.4720249084
429	0.4719038602
430	0.471676488
431	0.4715091287
432	0.4713551025
433	0.4712029898
434	0.4710635276
435	0.4709137921
436	0.4707512822
437	0.4705329781
438	0.4702535182
439	0.4700325495
440	0.4698568405
441	0.4696594323
442	0.4694788903
443	0.4693627632
444	0.4692208846
445	0.4690669203
446	0.4688994501
447	0.4687060356
448	0.4684899292
449	0.4683524263
450	0.468095348
451	0.4678913272
452	0.4676951109
453	0.4674711217
454	0.4672376691
455	0.4671444265
456	0.4669314289
457	0.4667696863
458	0.4665703776
459	0.4664701796
460	0.4662353947
461	0.4660910016
462	0.4658555244
463	0.4657635978
464	0.4655699057
465	0.4654136981
466	0.4653061037
467	0.4650892365
468	0.4649163783
469	0.4647875582
470	0.4645904505
471	0.4644124882
472	0.4642159323
473	0.4640643389
474	0.4638162112
475	0.463626183
476	0.4634897773
477	0.4633437906
478	0.4632022875
479	0.4629373034
480	0.4628074972
481	0.4627007258
482	0.4625816271
483	0.462488698
484	0.4623449156
485	0.4621377338
486	0.4620442202
487	0.4618174945
488	0.4616598174
489	0.4615225725
490	0.4613241062
491	0.4610944482
492	0.460920571
493	0.4607984159
494	0.4605945224
495	0.4604579306
496	0.4602544486
497	0.460186876
498	0.4599642615
499	0.4598016111
