iter	Logloss
0	0.6803573072
1	0.6691818248
2	0.6590950672
3	0.6501232399
4	0.6413941588
5	0.6337449106
6	0.6273758032
7	0.6207609225
8	0.6151276915
9	0.6101550545
10	0.6055527493
11	0.6017338495
12	0.5981858509
13	0.5945733232
14	0.591333364
15	0.5885656622
16	0.5860753826
17	0.5834853753
18	0.5811287813
19	0.5791441094
20	0.5770356627
21	0.5751922752
22	0.5735979819
23	0.5719943787
24	0.5704452764
25	0.5693821138
26	0.5679749849
27	0.5670235018
28	0.5659659362
29	0.5644328544
30	0.5632585642
31	0.5621201289
32	0.5612429257
33	0.5603261481
34	0.5595388371
35	0.5588608642
36	0.5582751968
37	0.5577200811
38	0.5570798768
39	0.5565418723
40	0.5560337861
41	0.5553379935
42	0.5546395363
43	0.5542008677
44	0.553625578
45	0.5532571336
46	0.5528069216
47	0.5523913955
48	0.5518309604
49	0.5515280118
50	0.5511881078
51	0.5507098845
52	0.5503427561
53	0.549994143
54	0.5496781978
55	0.5494700691
56	0.5492340139
57	0.5488774559
58	0.5484436301
59	0.5481372462
60	0.5478572801
61	0.5475189304
62	0.5471804305
63	0.5467674515
64	0.5463520953
65	0.5460116133
66	0.5457503518
67	0.5454608897
68	0.5452924463
69	0.5449519545
70	0.5446771446
71	0.5443716914
72	0.5441740187
73	0.5439420258
74	0.5437029337
75	0.5434720674
76	0.5432965706
77	0.5431239082
78	0.54282399
79	0.5426061823
80	0.5422982408
81	0.5419709383
82	0.5417999348
83	0.5415324428
84	0.5414161492
85	0.5411419891
86	0.5408241042
87	0.5405447749
88	0.5402842025
89	0.5400458223
90	0.5397884076
91	0.5394623655
92	0.5392029262
93	0.5390251697
94	0.5387510129
95	0.5384945354
96	0.5382509631
97	0.5380013072
98	0.5377105127
99	0.5373448147
100	0.5371184122
101	0.536881544
102	0.5367298101
103	0.5365244243
104	0.5363054084
105	0.5361571849
106	0.5359037607
107	0.5356805127
108	0.5354882901
109	0.535355545
110	0.5352163669
111	0.5351120314
112	0.5348755942
113	0.5346374524
114	0.534377151
115	0.5342021995
116	0.5340039815
117	0.5338529366
118	0.5336583172
119	0.5334267194
120	0.5333367521
121	0.5331611442
122	0.5329210007
123	0.5327198503
124	0.5325974894
125	0.5323753745
126	0.5321626186
127	0.5319653737
128	0.531769239
129	0.531588733
130	0.5313431883
131	0.5312275053
132	0.5310457094
133	0.5308592569
134	0.5307427837
135	0.5305652427
136	0.5304526619
137	0.5303230059
138	0.5301769246
139	0.5298450275
140	0.5296090834
141	0.5293863808
142	0.529200356
143	0.5289944511
144	0.5288427629
145	0.528689664
146	0.5285165706
147	0.5284249738
148	0.5282204534
149	0.5280839399
150	0.5279647956
151	0.5276995209
152	0.5275427973
153	0.5272974061
154	0.5271312192
155	0.5269999272
156	0.5267780736
157	0.5266963778
158	0.5264912565
159	0.5263772096
160	0.5261637711
161	0.5259833598
162	0.5258391006
163	0.5256080383
164	0.5253507575
165	0.5251739708
166	0.5249013194
167	0.5246369166
168	0.5244279192
169	0.5242315527
170	0.5241076309
171	0.5239801171
172	0.5237037724
173	0.5235572568
174	0.5233680025
175	0.5232216272
176	0.5230371177
177	0.5227917396
178	0.5226447864
179	0.5225430796
180	0.5223611596
181	0.5220692549
182	0.5218628242
183	0.5216995338
184	0.5215028668
185	0.5212879393
186	0.5210087373
187	0.5208747873
188	0.5205923296
189	0.5202707221
190	0.5201124801
191	0.519902134
192	0.5197614962
193	0.5195027002
194	0.519388059
195	0.5192217055
196	0.5189386829
197	0.5187287483
198	0.5184397434
199	0.5183604705
200	0.5181452099
201	0.5179854593
202	0.5177342817
203	0.5176155389
204	0.517476093
205	0.5173376431
206	0.517182905
207	0.5170361869
208	0.5167808621
209	0.5165873594
210	0.5164070003
211	0.5162399382
212	0.5160773923
213	0.5158350283
214	0.5157353853
215	0.5154294913
216	0.5151906082
217	0.5148762827
218	0.5145923262
219	0.514361228
220	0.5141646133
221	0.5139181184
222	0.5137495248
223	0.5134815724
224	0.5132276126
225	0.5130019384
226	0.5127475378
227	0.5125698172
228	0.5123594417
229	0.5121281084
230	0.512019492
231	0.5117339713
232	0.5116003543
233	0.5113463945
234	0.5110266058
235	0.5108237736
236	0.5105016763
237	0.5102852271
238	0.5100605194
239	0.5098387018
240	0.5095962854
241	0.5093938843
242	0.5091740488
243	0.5089791779
244	0.5087727962
245	0.5084885327
246	0.5083714782
247	0.508165472
248	0.5080603757
249	0.5078008417
250	0.5076440496
251	0.5074719652
252	0.5072792071
253	0.5070642926
254	0.5068209064
255	0.5066667594
256	0.5065150353
257	0.5062514684
258	0.5060542268
259	0.505867353
260	0.505687167
261	0.5055131853
262	0.5053036557
263	0.5051414527
264	0.5049181884
265	0.5047090081
266	0.5044686882
267	0.5041954
268	0.5039884762
269	0.5037877993
270	0.5036299002
271	0.5033692559
272	0.5031968548
273	0.5030862496
274	0.5027445365
275	0.5025526503
276	0.5023223717
277	0.5020852128
278	0.5018259858
279	0.5015659162
280	0.5014488585
281	0.5012919782
282	0.5010714635
283	0.5009308616
284	0.500756893
285	0.5005350656
286	0.500367677
287	0.5001671829
288	0.4998957005
289	0.4995540037
290	0.499293046
291	0.4990335871
292	0.4987629309
293	0.4986131301
